City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
82,Katsuura,JP,35.13,140.3,59.0,67,40,1.12,scattered clouds
83,College,US,64.86,-147.8,-0.99,75,20,3.36,few clouds
84,Ahipara,NZ,-35.17,173.17,60.08,93,77,5.75,broken clouds
85,Butaritari,KI,3.07,172.79,81.68,77,62,9.17,broken clouds
86,Constitucion,CL,-35.33,-72.42,60.91,70,60,8.08,broken clouds
87,Eatonton,US,33.33,-83.39,68.0,55,86,10.22,overcast clouds
88,Sirsa,IN,29.53,75.02,66.6,23,0,3.06,clear sky
89,Ponta Delgada,PT,37.73,-25.67,69.8,94,40,16.11,scattered clouds
90,Kapaa,US,22.08,-159.32,71.6,94,1,5.82,clear sky
91,Tiksi,RU,71.69,128.87,-6.83,90,0,7.27,clear sky
92,Aitape,PG,-3.14,142.35,78.57,81,99,4.23,heavy intensity rain
93,Bulgan,MN,48.81,103.53,20.28,87,0,1.86,clear sky
94,Hilo,US,19.73,-155.09,75.99,69,90,4.7,overcast clouds
95,Kaputa,ZM,-8.47,29.66,76.12,64,44,0.09,light rain
96,Castro,BR,-24.79,-50.01,67.62,56,66,8.28,light rain
97,Avera,US,33.19,-82.53,66.99,82,1,10.29,clear sky
98,Rawson,AR,-43.3,-65.1,88.14,13,0,8.3,clear sky
99,Zhangjiakou,CN,40.81,114.88,35.85,68,33,8.68,scattered clouds
100,Bluff,NZ,-46.6,168.33,48.0,79,78,11.01,broken clouds
101,Waipawa,NZ,-41.41,175.52,57.2,82,68,14.99,light rain
102,Richards Bay,ZA,-28.78,32.04,64.65,83,100,5.55,overcast clouds
103,Cururupu,BR,-1.83,-44.87,89.83,51,47,7.31,scattered clouds
104,Brae,GB,60.4,-1.35,48.2,70,82,12.75,moderate rain
105,Georgetown,MY,5.41,100.34,80.6,88,20,2.24,few clouds
106,Chapleau,CA,47.84,-83.4,28.4,86,90,14.99,overcast clouds
107,Alugan,PH,12.22,125.48,77.38,89,85,4.38,overcast clouds
108,Omboue,GA,-1.57,9.26,75.27,93,100,6.33,light rain
109,Rorvik,NO,64.86,11.24,53.6,71,0,17.22,light rain
110,Koungou,YT,-12.73,45.2,77.0,78,0,3.36,clear sky
111,Praia Da Vitoria,PT,38.73,-27.07,64.99,93,75,20.11,light intensity drizzle rain
112,Port Hardy,CA,50.7,-127.42,48.2,76,75,8.48,broken clouds
113,Port Blair,IN,11.67,92.75,80.58,78,51,3.11,broken clouds
114,Salalah,OM,17.02,54.09,80.6,65,0,3.36,clear sky
115,Olean,US,42.08,-78.43,46.4,100,90,9.17,light rain
116,Guerrero Negro,MX,27.98,-114.06,79.45,37,0,5.48,clear sky
117,Saint-Philippe,RE,-21.36,55.77,68.0,68,40,6.93,scattered clouds
118,Prince Rupert,CA,54.32,-130.32,53.6,87,90,20.8,overcast clouds
119,Husavik,IS,66.04,-17.34,39.2,55,75,9.17,broken clouds
120,Acapulco,MX,16.86,-99.89,86.5,60,36,5.55,scattered clouds
121,Port Elizabeth,ZA,-33.92,25.57,66.2,77,0,14.99,clear sky
